model,accuracy,avg_inference_time_sec,model_size_mb
mobilenet_baseline,0.4128,0.0028333706568926,8.76618480682373
random_forest_baseline,0.4725,0.3104894389996843,337.6918725967407
random_forest_baseline,0.4725,0.3095355333999975,337.6918725967407
mobilenet_baseline,0.4128,0.0029949721458001,8.76618480682373
random_forest_baseline,0.4725,0.3068543959999715,337.6918725967407
mobilenet_baseline,0.4128,0.0030442378910009,8.76618480682373
random_forest_baseline,0.4725,0.3163214072999835,337.6918725967407
mobilenet_baseline,0.4128,0.0028910894735986,8.76618480682373
random_forest_baseline,0.4725,0.3127112941998348,337.6918725967407
random_forest_baseline,0.4725,0.3047012755005198,337.6918725967407
mobilenet_baseline,0.4128,0.0028833394581879476,8.76618480682373
